iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
386,1,0.462831,1.86929,0.16126,2.49338
387,1,0.464099,1.874,0.161801,2.4999
388,1,0.46533,1.87848,0.162196,2.506
389,1,0.466433,1.88308,0.162544,2.51205
390,1,0.467482,1.88752,0.162931,2.51793
391,1,0.468527,1.8924,0.163255,2.52419
392,1,0.469595,1.89695,0.163592,2.53014
393,1,0.470647,1.90167,0.163876,2.53619
394,1,0.471702,1.90672,0.164227,2.54265
395,1,0.472858,1.91161,0.165008,2.54947
396,1,0.474045,1.91655,0.165355,2.55595
397,1,0.475306,1.92101,0.165655,2.56197
398,1,0.476435,1.92571,0.166066,2.56821
399,1,0.477851,1.93154,0.16628,2.57568
400,1,0.478752,1.93783,0.166664,2.58324
401,1,0.479925,1.94329,0.167104,2.59032
402,1,0.481274,1.94871,0.167593,2.59758
403,1,0.482804,1.95424,0.168124,2.60517
404,1,0.484668,1.95928,0.168555,2.61251
405,1,0.486053,1.96466,0.172292,2.62301
406,1,0.48714,1.97023,0.174869,2.63224
407,1,0.488245,1.97514,0.175248,2.63864
408,1,0.489548,1.98056,0.1756,2.64571
409,1,0.490896,1.98551,0.176046,2.65246
410,1,0.492117,1.99166,0.176475,2.66025
411,1,0.493785,1.99718,0.176757,2.66772
412,1,0.49501,2.00207,0.177311,2.67439
413,1,0.49599,2.00704,0.177632,2.68067
414,1,0.497226,2.01149,0.178018,2.68673
415,1,0.498362,2.01632,0.17841,2.69309
416,1,0.499671,2.02219,0.178674,2.70053
417,1,0.500613,2.02955,0.179288,2.70945
418,1,0.502072,2.03522,0.179972,2.71726
419,1,0.503723,2.04067,0.180341,2.72473
420,1,0.505314,2.04583,0.180833,2.73198
421,1,0.507351,2.05111,0.181412,2.73987
422,1,0.508455,2.05645,0.181662,2.74657
423,1,0.51028,2.06162,0.182278,2.75418
424,1,0.511728,2.06649,0.182799,2.76102
425,1,0.512994,2.07259,0.183089,2.76868
426,1,0.514375,2.07868,0.183501,2.77655
427,1,0.515806,2.08352,0.183775,2.78311
428,1,0.517301,2.08828,0.184174,2.78975
429,1,0.518348,2.09429,0.184485,2.79712
430,1,0.519614,2.10005,0.184763,2.80443
431,1,0.520784,2.10508,0.185347,2.81121
432,1,0.522326,2.11023,0.185698,2.81825
433,1,0.523775,2.11555,0.186798,2.82612
434,1,0.524942,2.12041,0.18716,2.83251
435,1,0.526143,2.12508,0.187509,2.83874
436,1,0.527399,2.13018,0.187807,2.84538
437,1,0.528815,2.13473,0.188108,2.85165
438,1,0.529848,2.13953,0.188356,2.85773
439,1,0.531171,2.14452,0.188672,2.86437
440,1,0.532213,2.14954,0.189035,2.87079
441,1,0.533369,2.15454,0.189482,2.87739
442,1,0.534541,2.15924,0.189791,2.88357
443,1,0.535576,2.16395,0.190179,2.8897
