iter,ant_move_s,phen_sync_s,evaporation_s,total_s
247,0.3049195,1.205415,0.10854225,1.6188775
248,0.306516,1.21002,0.10893325,1.62547
249,0.30765825,1.2150425,0.109247,1.6319474999999999
250,0.308768,1.2197925,0.10961,1.6381700000000001
251,0.310099,1.2252775,0.11085175,1.64623
252,0.31114275,1.22996,0.111261,1.6523625
253,0.31236875,1.234515,0.111612,1.6584925
254,0.31342175,1.239735,0.11199624999999999,1.6651525
255,0.31449325,1.2443575,0.1124015,1.6712500000000001
256,0.3155865,1.2488575,0.11278625,1.67723
257,0.31665875,1.25358,0.1139585,1.6842000000000001
258,0.31783,1.2586275,0.1144555,1.6909174999999999
259,0.31904425000000003,1.26356,0.11485475,1.6974575
260,0.32022775000000003,1.2680325,0.11526775,1.7035274999999999
261,0.3213475,1.2727075,0.11565675,1.7097125
262,0.32249649999999996,1.2774174999999999,0.11602975,1.7159475
263,0.32362925,1.282075,0.116325,1.722025
264,0.324764,1.28707,0.1168725,1.7287075
265,0.325799,1.2924875,0.1172765,1.735565
266,0.32689875,1.2972424999999999,0.1176325,1.74177
267,0.32808975,1.3018800000000001,0.11797075,1.7479425000000002
268,0.3292105,1.306575,0.11828775,1.7540749999999998
269,0.33025024999999997,1.311065,0.118987,1.7603075
270,0.3313485,1.3156075,0.11928174999999999,1.76624
271,0.33237225000000004,1.320145,0.11963725,1.7721575
272,0.33346,1.325155,0.1200155,1.7786325
273,0.33510525,1.3301825,0.12054524999999999,1.7858325
274,0.33650625,1.3358275,0.121057,1.7933925
275,0.33815399999999995,1.3403975,0.1215445,1.8000975000000001
276,0.3394645,1.3447375,0.12199075,1.80619
277,0.34055925,1.3492925,0.12232725,1.8121775
278,0.34184000000000003,1.3537175000000001,0.12272999999999999,1.8182875
279,0.34301725,1.3586375,0.12310425,1.82476
280,0.34409275,1.3633675,0.12343975,1.8308975
281,0.34524525,1.3677325,0.12386074999999999,1.8368375000000001
282,0.34637724999999997,1.37226,0.12420925,1.8428475
283,0.3475385,1.3769125,0.12453225,1.84898
284,0.34867475000000003,1.3813875,0.1248905,1.85495
285,0.3497645,1.385845,0.12525575,1.8608675
286,0.35078825,1.3905275,0.12564524999999999,1.866955
287,0.35185974999999997,1.395135,0.12615275,1.8731499999999999
288,0.35291925,1.3996425,0.126554,1.879115
289,0.354028,1.404665,0.12687725,1.8855675
290,0.35507675,1.40925,0.12731275,1.8916425
291,0.35616275000000003,1.4137975,0.12771549999999998,1.89768
292,0.35717175,1.418665,0.128032,1.9038675
293,0.3581715,1.423395,0.12833775,1.909905
294,0.35928899999999997,1.4284875000000001,0.12868475000000001,1.9164575
295,0.36033925,1.4332375,0.12913475000000002,1.9227075
296,0.36142525000000003,1.437915,0.12946249999999998,1.9288025
297,0.36246075,1.442905,0.129772,1.9351325
298,0.3635845,1.4476075,0.13009925,1.94129
299,0.36488925,1.452175,0.1304235,1.9474825
300,0.366053,1.4568975,0.1308015,1.9537525
301,0.3673195,1.4613175,0.13119225,1.9598275
302,0.36833,1.4659375,0.131574,1.965845
303,0.369525,1.47064,0.13198474999999998,1.9721525
304,0.37064600000000003,1.47528,0.13230925,1.978235
305,0.3718725,1.479965,0.132774,1.9846125
306,0.3731235,1.4851450000000002,0.13320175,1.9914725
307,0.37434449999999997,1.4898725,0.133545,1.9977625
308,0.37603074999999997,1.4947,0.1339205,2.00465
309,0.37710175,1.5002149999999999,0.13433325000000002,2.01165
310,0.37818375,1.505325,0.13478675,2.0182975
311,0.3793305,1.5099,0.13516775,2.0244025
312,0.380486,1.514735,0.13556775000000001,2.0307874999999997
313,0.38150700000000004,1.5193325,0.136075,2.0369175
314,0.3827,1.5243225,0.13658025000000001,2.0436025
315,0.38388,1.5287674999999998,0.13697025000000002,2.0496175
316,0.385058,1.53341,0.137436,2.0559025
317,0.3862605,1.5379875,0.137835,2.0620849999999997
318,0.3874795,1.5425550000000001,0.13831475,2.0683499999999997
319,0.3886575,1.5471,0.13869700000000001,2.074455
320,0.38969925,1.551585,0.13900925,2.080295
321,0.39080875000000004,1.5563150000000001,0.13942625,2.0865475
322,0.39204975,1.5609275,0.13978925,2.092765
323,0.39304775000000003,1.56558,0.14026925,2.0988975
324,0.39418025,1.570185,0.140658,2.1050225
325,0.3953235,1.57474,0.14100925,2.1110725
326,0.39635750000000003,1.5794625,0.14138875,2.1172075
327,0.39741,1.5841,0.14182625,2.123335
328,0.3984845,1.5887075,0.14215875,2.12935
329,0.39961025,1.593725,0.14259925,2.1359325
330,0.4008125,1.598765,0.14307675,2.1426575000000003
331,0.40209125,1.603325,0.14349975,2.1489175
